raw_text,price,bedrooms,location,type,date,message_id,link
"👑 PANTHEA II - КОМНАТА 
#Аренда #Лимассол #Rent #Limassol
Limassol - Ayios Athanasios
Полностью меблированная комната в апартаментах  с общей кухней и залом
❣️ Общая площадь: 12 m²
❣️ Полностью меблированные апартаменты
❣️ Общая ванная комната
❣️ Общий зал
❣️ Общая кухня

Цена: €550/месяц
whatsapp: +357 95903790
#justbringyoursuitcase
reg: HE428900",550.0,,Лимассол,,2025-03-10T15:17:00+00:00,697633,https://t.me/c/219615/697633
"#Аренда #Лимассол, Germasogeia Village

✅ 3 спальный дом
✅ 2 санузла
✅ Полностью меблирован и оборудован
✅ Кондиционирование: Полное, во всех комнатах
✅ Парковка
✅ Крытая веранда, 
✅ Сад, зона барбекю

💶 Цена: €2300 в месяц
📱 Свяжитесь с нами:
WhatsApp: +35795589139
Telegram: @inhomecyprus
Агентство inHome
Рег. 1208, Лицензия 65/Е
Ref. 231385 ю2",2300.0,3.0,Лимассол,,2025-03-10T15:11:43+00:00,697630,https://t.me/c/219615/697630
"Здание в аренду
€6500
Лимассол,  Agios Nektarios

330 м2
Кухня
Парковка

Reg:1234|Lic:603/E ID: 5688371",6500.0,2.0,Лимассол,,2025-03-10T15:07:11+00:00,697625,https://t.me/c/219615/697625
"Аренда
Новый 3 спальный дом в Эрими, Лимассол
Новая быт техника, AC
2500/мес

99933140  
CEOSO LTD
R1256/L258",,3.0,Лимассол,,2025-03-10T14:59:39+00:00,697620,https://t.me/c/219615/697620
"Rent/Limassol

Modern design 3 Bedroom/2 bathroom house in Germasogeia village with garden with 3 parkings

€2300

R.N. 1283
L.N. 652",2300.0,3.0,Limassol,,2025-03-10T14:51:23+00:00,697614,https://t.me/c/219615/697614
"Аренда первоклассного офиса
Лимассол,Апостолос Андреос 
Офи. пом. 1060м2
Подз. пр-во 1200м2
💶60.000€
 RN186LN56
+357 99 324109 Joulia",60.0,,Лимассол Апостолос,,2025-03-10T14:51:18+00:00,697610,https://t.me/c/219615/697610
"👑 DWELL IV
#Аренда #Лимассол #Rent #Limassol
Limassol - Mesa Geitonia
Полностью меблированные апартаменты с 2 спальнями
❣️ Общая площадь: 89 m²
❣️ 1 Ванная комната
❣️ Полностью меблированы
❣️ Балкон
❣️ Парковка

Цена: €2050/месяц
whatsapp: +357 95903790
#justbringyoursuitcase
reg: HE428900",2050.0,2.0,Лимассол,,2025-03-10T14:44:01+00:00,697604,https://t.me/c/219615/697604
"Квартира в аренду
€1900 
Лимассол,  Panthea

3 этаж
115 м²
2 спальни
2 ванных
Мебель

Reg:1234|Lic:603/E ID: 5683769",1900.0,2.0,Лимассол,,2025-03-10T14:42:07+00:00,697600,https://t.me/c/219615/697600
"#Аренда #Лимассол, Mesa Geitonia

✅ 2 спальная квартира
✅ 1 санузел
✅ 2-й этаж
✅ Площадь: 89 м²
✅ Частично меблирована
✅ Кондиционирование: Частичное
✅ Парковка: Открытая
✅ Домашние животные: Разрешены
✅ Балкон, кладовая
✅ Лифт в здании
✅ В пешей доступности от пляжа

💶 Цена: €1500 в месяц

📱 Свяжитесь с нами:
WhatsApp: +35795589139
Telegram: @inhomecyprus
Агентство inHome
Рег. 1208, Лицензия 65/Ε
Ref. 231735 ю2",1500.0,2.0,Лимассол,,2025-03-10T14:16:43+00:00,697595,https://t.me/c/219615/697595
"👑 DYNAMO COURT I - MOVING DOORS
#Аренда #Лимассол #Rent #Limassol
Лимассол - Gremasogeia
Полностью меблированные апартаменты с 3 спальнями
❣️ Общая площадь: 114 m²
❣️ Полностью меблированы
❣️ 2 Ванных комнаты
❣️ Кладовая
❣️ Парковка

Цена: €1790/месяц
whatsapp: +357 95903790
#justbringyoursuitcase
reg: HE428900",1790.0,3.0,Лимассол,,2025-03-10T14:16:00+00:00,697589,https://t.me/c/219615/697589
"аренда Лимассол старый город  
Студия 
после реноваций 
топ локация 
2 этаж 
Балкон 
Хороший вид 
1300 евро 
включенно в стоимость (свет, вода, интернет, мусор)

 Рег:AM: 1256/AA258/E",,0.0,Лимассол,,2025-03-10T14:15:41+00:00,697580,https://t.me/c/219615/697580
